collection_timestamp_utc,pollution_timestamp_utc,aqi_us,main_pollutant_us,temperature_celsius,humidity_percent,wind_speed_m_s,wind_direction_degrees,weather_icon_code,pm2_5,hour,day_of_week,month,is_weekend,aqi_lag_1h,aqi_lag_3h,aqi_lag_6h,aqi_lag_24h,pm2_5_lag_1h,pm2_5_lag_24h,temp_lag_1h,temp_lag_3h,aqi_rolling_mean_3h,aqi_rolling_mean_6h,aqi_rolling_std_6h,pm2_5_rolling_mean_3h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,temp_rolling_mean_6h,temp_rolling_std_6h,humidity_rolling_mean_6h,wind_rolling_mean_6h,aqi_1h_ahead,aqi_2h_ahead,aqi_3h_ahead,aqi_4h_ahead,aqi_5h_ahead
2024-12-14 05:24:00,2024-12-14 05:00:00+00:00,107,p2,21,100,1.26,206,03n,24,5,5,12,1,82,108,182,185,147,177,15.0,17.0,102.67,100.17,19.682,23.0,22.5,4.231,17.17,2.137,86.33,2.03,153,98,171,168,148
2024-12-14 06:42:00,2024-12-14 06:00:00+00:00,86,p2,20,100,3.37,201,10d,19,6,5,12,1,159,2,182,183,74,186,21.0,16.0,89.0,97.67,20.491,20.0,21.83,4.446,17.83,2.317,89.0,2.28,96,42,186,104,155
2024-12-14 07:54:00,2024-12-14 07:00:00+00:00,123,p2,28,94,2.96,162,04d,27,7,5,12,1,4,182,75,174,18,81,20.0,15.0,105.33,99.67,22.536,23.33,22.17,4.792,19.5,4.764,93.0,2.28,53,63,132,9,55
2024-12-14 08:19:00,2024-12-14 08:00:00+00:00,121,p2,24,68,3.57,238,02d,27,8,5,12,1,38,93,158,172,125,189,28.0,21.0,110.0,106.33,21.814,24.33,23.67,4.633,20.67,4.885,92.83,2.58,83,121,9,50,14
2024-12-14 09:41:00,2024-12-14 09:00:00+00:00,77,p2,25,61,3.28,284,03d,18,9,5,12,1,115,46,76,178,22,28,24.0,20.0,107.0,98.0,21.891,24.0,22.0,4.561,22.17,4.535,86.33,2.89,165,118,187,119,81
2024-12-14 10:49:00,2024-12-14 10:00:00+00:00,94,p2,19,61,2.23,179,04d,21,10,5,12,1,72,8,114,102,170,147,25.0,28.0,97.33,101.33,18.811,22.0,22.67,3.933,22.83,3.43,80.67,2.78,60,7,6,21,39
2024-12-14 11:17:00,2024-12-14 11:00:00+00:00,110,p2,28,67,3.46,242,10d,25,11,5,12,1,140,122,199,150,96,190,19.0,24.0,93.67,101.83,19.031,21.33,22.83,4.021,24.0,3.847,75.17,3.14,10,89,163,47,159
2024-12-14 12:11:00,2024-12-14 12:00:00+00:00,82,p2,22,98,3.23,231,04d,19,12,5,12,1,173,76,199,95,39,64,28.0,25.0,95.33,101.17,19.753,21.67,22.83,4.021,24.33,3.502,74.83,3.12,186,178,39,15,156
2024-12-14 13:14:00,2024-12-14 13:00:00+00:00,71,p2,21,53,1.8,202,01d,16,13,5,12,1,69,92,172,51,55,108,22.0,19.0,87.67,92.5,19.665,20.0,21.0,4.243,23.17,3.189,68.0,2.93,133,182,20,200,65
2024-12-14 14:40:00,2024-12-14 14:00:00+00:00,87,p2,27,35,3.0,204,02d,20,14,5,12,1,93,35,195,35,109,8,21.0,28.0,80.0,86.83,13.848,18.33,19.83,3.061,23.67,3.559,62.5,2.83,108,47,148,90,14
2024-12-14 15:27:00,2024-12-14 15:00:00+00:00,95,p2,23,40,5.47,174,03d,21,15,5,12,1,73,20,108,59,64,180,27.0,22.0,84.33,89.83,13.227,19.0,20.33,2.944,23.33,3.502,59.0,3.2,196,5,139,1,120
2024-12-14 16:29:00,2024-12-14 16:00:00+00:00,107,p2,25,78,2.99,235,04d,24,16,5,12,1,110,37,76,121,168,82,23.0,21.0,96.33,92.0,14.993,21.67,20.83,3.312,24.33,2.805,61.83,3.32,158,28,162,130,90
2024-12-14 17:19:00,2024-12-14 17:00:00+00:00,93,p2,25,97,4.24,253,04d,21,17,5,12,1,29,53,189,65,145,25,25.0,27.0,98.33,89.17,12.271,22.0,20.17,2.639,23.83,2.229,66.83,3.46,191,140,101,199,29
2024-12-14 18:53:00,2024-12-14 18:00:00+00:00,143,p2,22,63,2.64,110,10d,32,18,5,12,1,40,76,35,127,15,8,25.0,23.0,114.33,99.33,24.41,25.67,22.33,5.391,23.83,2.229,61.0,3.36,15,83,26,22,157
2024-12-14 19:54:00,2024-12-14 19:00:00+00:00,86,p2,21,85,0.89,193,02n,19,19,5,12,1,24,156,97,150,78,62,22.0,25.0,107.33,101.83,21.526,24.0,22.83,4.792,23.83,2.229,66.33,3.2,138,121,145,132,38
2024-12-14 20:21:00,2024-12-14 20:00:00+00:00,58,p2,22,99,2.72,159,02n,13,20,5,12,1,107,44,43,70,103,38,21.0,25.0,95.67,97.0,27.85,21.33,21.67,6.25,23.0,1.673,77.0,3.16,77,150,150,98,29
2024-12-14 21:44:00,2024-12-14 21:00:00+00:00,50,p2,18,83,1.2,205,02n,12,21,5,12,1,43,28,165,14,42,119,22.0,22.0,64.67,89.5,33.898,14.67,20.17,7.414,22.17,2.639,84.17,2.45,172,154,9,96,187
2024-12-14 22:43:00,2024-12-14 22:00:00+00:00,118,p2,22,99,0.88,258,02n,26,22,5,12,1,16,162,87,40,1,40,18.0,21.0,75.33,91.33,35.303,17.0,20.5,7.662,21.67,2.251,87.67,2.1,118,24,195,4,65
2024-12-14 23:12:00,2024-12-14 23:00:00+00:00,100,p2,21,86,2.21,222,02n,22,23,5,12,1,107,34,25,64,164,155,22.0,22.0,89.33,92.5,35.484,20.0,20.67,7.685,21.0,1.549,85.83,1.76,159,62,61,66,75
2024-12-15 01:59:00,2024-12-15 01:00:00+00:00,74,p2,21,78,1.16,217,04n,17,1,6,12,1,70,68,128,184,157,88,21.0,18.0,97.33,81.0,25.667,21.67,18.17,5.345,20.83,1.472,88.33,1.51,173,39,91,185,149
2024-12-15 02:49:00,2024-12-15 02:00:00+00:00,69,p2,18,76,3.49,128,03n,16,2,6,12,1,54,146,169,159,8,105,21.0,22.0,81.0,78.17,25.942,18.33,17.67,5.391,20.33,1.862,86.83,1.94,61,17,119,93,200
2024-12-15 03:50:00,2024-12-15 03:00:00+00:00,102,p2,20,79,2.68,163,10n,23,3,6,12,1,117,135,196,43,75,44,18.0,21.0,81.67,85.5,25.312,18.67,19.33,5.203,20.0,1.673,83.5,1.94,136,185,36,91,143
2024-12-15 04:57:00,2024-12-15 04:00:00+00:00,157,p2,15,93,2.44,251,03n,35,4,6,12,1,21,131,108,154,146,51,20.0,21.0,109.33,103.33,32.085,24.67,23.17,6.911,19.5,2.588,85.17,2.14,64,131,169,103,186
2024-12-15 05:56:00,2024-12-15 05:00:00+00:00,115,p2,17,70,0.76,213,03n,26,5,6,12,1,117,15,6,161,79,57,15.0,18.0,124.67,102.83,31.833,28.0,23.17,6.911,18.67,2.422,80.33,2.12,29,141,64,130,32
2024-12-15 06:54:00,2024-12-15 06:00:00+00:00,132,p2,23,100,2.23,211,03d,29,6,6,12,1,45,160,36,101,38,2,17.0,20.0,134.67,108.17,33.879,30.0,24.33,7.257,19.0,2.898,82.67,2.13,190,72,109,62,56
2024-12-15 07:55:00,2024-12-15 07:00:00+00:00,116,p2,24,73,0.35,202,01d,26,7,6,12,1,200,82,134,178,127,193,23.0,15.0,121.0,115.17,29.458,27.0,25.83,6.306,19.5,3.507,81.83,1.99,127,13,113,115,154
2024-12-15 08:19:00,2024-12-15 08:00:00+00:00,49,p2,23,46,2.87,135,02d,12,8,6,12,1,141,92,121,2,62,116,24.0,17.0,99.0,111.83,36.108,22.33,25.17,7.627,20.33,3.67,76.83,1.89,19,66,22,167,17
2024-12-15 09:36:00,2024-12-15 09:00:00+00:00,134,p2,27,49,0.93,218,04d,30,9,6,12,1,110,134,128,96,134,175,23.0,23.0,99.67,117.17,36.723,22.67,26.33,7.763,21.5,4.55,71.83,1.6,88,34,199,126,111
2024-12-15 10:34:00,2024-12-15 10:00:00+00:00,55,p2,26,49,3.96,150,02d,13,10,6,12,1,165,121,21,13,162,94,27.0,24.0,79.33,100.17,38.175,18.33,22.67,8.042,23.33,3.502,64.5,1.85,56,146,168,126,136
2024-12-15 12:55:00,2024-12-15 12:00:00+00:00,121,p2,23,77,1.59,193,10d,27,12,6,12,1,28,168,51,89,44,157,26.0,23.0,103.33,101.17,38.716,23.33,22.83,8.134,24.33,1.751,65.67,1.99,14,21,83,84,99
2024-12-15 13:25:00,2024-12-15 13:00:00+00:00,88,p2,30,58,4.0,153,02d,20,13,6,12,1,200,145,5,60,132,198,23.0,27.0,88.0,93.83,35.763,20.0,21.33,7.581,25.5,2.739,58.67,2.28,127,173,136,1,167
2024-12-15 15:10:00,2024-12-15 15:00:00+00:00,118,p2,24,41,2.46,205,02d,26,15,6,12,1,78,188,181,92,129,74,30.0,26.0,109.0,94.17,36.019,24.33,21.33,7.581,25.5,2.739,53.33,2.64,88,136,171,131,126
2024-12-15 16:10:00,2024-12-15 16:00:00+00:00,104,p2,22,80,2.42,244,04d,23,16,6,12,1,112,69,166,14,154,66,24.0,23.0,103.33,103.33,28.423,23.0,23.17,6.047,25.33,2.944,59.0,2.56,125,69,157,48,68
2024-12-15 18:19:00,2024-12-15 18:00:00+00:00,80,p2,26,67,1.77,184,03d,18,18,6,12,1,119,167,129,19,0,6,22.0,30.0,100.67,94.33,25.129,22.33,21.17,5.269,25.17,2.858,62.0,2.7,11,175,48,189,180
2024-12-15 19:57:00,2024-12-15 19:00:00+00:00,95,p2,17,63,1.68,246,03n,21,19,6,12,1,139,137,85,86,45,124,26.0,24.0,93.0,101.0,16.395,20.67,22.5,3.507,23.67,4.32,64.33,2.32,96,96,129,100,141
2024-12-15 20:53:00,2024-12-15 20:00:00+00:00,92,p2,18,71,2.34,97,04n,21,20,6,12,1,81,19,4,191,65,54,17.0,22.0,89.0,96.17,13.303,20.0,21.5,2.739,22.83,4.916,63.33,2.44,81,46,59,64,183
2024-12-15 21:16:00,2024-12-15 21:00:00+00:00,67,p2,17,67,2.4,211,04n,15,21,6,12,1,187,141,145,97,7,186,18.0,26.0,84.67,92.67,17.862,19.0,20.67,3.83,20.67,3.882,64.83,2.18,57,176,152,48,102
2024-12-15 22:21:00,2024-12-15 22:00:00+00:00,127,p2,20,89,0.3,191,01n,28,22,6,12,1,132,151,20,7,142,170,17.0,17.0,95.33,94.17,20.586,21.33,21.0,4.427,20.0,3.521,72.83,1.82,141,123,76,140,171
2024-12-15 23:35:00,2024-12-15 23:00:00+00:00,86,p2,17,73,1.36,196,02n,19,23,6,12,1,78,56,80,44,183,37,20.0,18.0,93.33,91.17,20.173,20.67,20.33,4.367,19.17,3.545,71.67,1.64,101,61,100,20,38
2024-12-16 00:28:00,2024-12-16 00:00:00+00:00,41,p2,15,97,4.01,251,01n,10,0,0,12,0,29,49,134,145,47,90,17.0,17.0,84.67,84.67,28.891,19.0,19.0,6.099,17.33,1.633,76.67,2.02,36,90,21,68,67
2024-12-16 01:26:00,2024-12-16 01:00:00+00:00,68,p2,22,69,3.23,228,10n,16,1,0,12,0,105,167,186,31,128,171,15.0,20.0,65.0,80.17,29.061,15.0,18.17,6.113,18.17,2.483,77.67,2.27,98,73,48,138,41
2024-12-16 02:48:00,2024-12-16 02:00:00+00:00,98,p2,24,88,1.83,191,01n,22,2,0,12,0,154,96,180,200,79,72,22.0,17.0,69.0,81.17,29.647,16.0,18.33,6.218,19.17,3.43,80.5,2.19,131,153,56,145,135
2024-12-16 03:39:00,2024-12-16 03:00:00+00:00,99,p2,15,96,1.24,251,03n,22,3,0,12,0,174,100,13,197,195,167,24.0,15.0,88.33,86.5,29.467,20.0,19.5,6.124,18.83,3.764,85.33,2.0,106,172,47,43,116
2024-12-16 04:15:00,2024-12-16 04:00:00+00:00,103,p2,19,89,0.3,182,02n,23,4,0,12,0,80,184,137,133,164,171,15.0,22.0,100.0,82.5,23.99,22.33,18.67,4.967,18.67,3.724,85.33,2.0,168,97,133,140,184
2024-12-16 05:25:00,2024-12-16 05:00:00+00:00,66,p2,19,75,4.42,194,10n,15,5,0,12,0,81,37,189,128,21,166,19.0,24.0,89.33,79.17,24.782,20.0,18.0,5.177,19.0,3.633,85.67,2.5,1,112,120,97,98
2024-12-16 06:20:00,2024-12-16 06:00:00+00:00,118,p2,23,65,1.98,179,03d,26,6,0,12,0,158,125,190,170,4,100,19.0,15.0,95.67,92.0,20.659,21.33,20.67,4.274,20.33,3.327,80.33,2.17,18,62,142,91,35
2024-12-16 08:18:00,2024-12-16 08:00:00+00:00,114,p2,22,68,2.12,189,03d,25,8,0,12,0,98,82,136,96,5,191,23.0,19.0,99.33,99.67,18.381,22.0,22.17,3.869,20.33,3.327,80.17,1.98,38,149,65,102,61
2024-12-16 09:56:00,2024-12-16 09:00:00+00:00,115,p2,23,48,2.57,202,02d,26,9,0,12,0,155,150,41,135,87,146,22.0,19.0,115.67,102.5,19.357,25.67,22.83,4.167,20.17,3.125,73.5,2.1,20,44,85,88,102
2024-12-16 11:54:00,2024-12-16 11:00:00+00:00,101,p2,21,87,2.86,196,04d,23,11,0,12,0,181,50,191,53,175,131,23.0,23.0,110.0,102.83,19.302,24.67,23.0,4.147,21.17,1.835,72.0,2.37,172,49,38,76,187
2024-12-16 12:50:00,2024-12-16 12:00:00+00:00,76,p2,29,53,2.73,212,10d,17,12,0,12,0,160,122,174,34,21,56,21.0,22.0,97.33,98.33,22.187,22.0,22.0,4.817,22.83,3.371,66.0,2.78,21,7,145,63,11
2024-12-16 14:49:00,2024-12-16 14:00:00+00:00,106,p2,19,62,3.19,151,03d,24,14,0,12,0,153,152,23,174,68,76,29.0,23.0,94.33,105.0,15.543,21.33,23.5,3.391,22.83,3.371,63.83,2.58,8,63,38,176,146
2024-12-16 15:16:00,2024-12-16 15:00:00+00:00,120,p2,25,68,2.53,192,04d,27,15,0,12,0,59,103,59,80,131,135,19.0,21.0,100.67,105.33,15.895,22.67,23.67,3.559,23.17,3.488,64.33,2.67,185,117,83,177,111
2024-12-16 16:17:00,2024-12-16 16:00:00+00:00,55,p2,20,79,4.01,223,04d,13,16,0,12,0,78,177,184,161,140,59,25.0,29.0,93.67,95.5,25.066,21.33,21.67,5.502,22.83,3.71,66.17,2.98,33,198,101,104,163
2024-12-16 17:35:00,2024-12-16 17:00:00+00:00,81,p2,26,59,2.12,176,01d,18,17,0,12,0,103,97,7,12,120,101,20.0,19.0,85.33,89.83,23.575,19.33,20.33,5.203,23.33,3.933,68.0,2.91,17,83,11,11,98
2024-12-16 18:17:00,2024-12-16 18:00:00+00:00,113,p2,20,59,1.44,139,10d,25,18,0,12,0,38,138,3,36,140,83,26.0,25.0,83.0,91.83,25.167,18.67,20.67,5.465,23.17,4.07,63.33,2.67,40,112,110,123,13
2024-12-16 19:41:00,2024-12-16 19:00:00+00:00,49,p2,23,82,2.39,133,03n,12,19,0,12,0,68,113,180,192,107,200,20.0,20.0,81.0,87.33,30.428,18.33,19.83,6.432,22.17,2.927,68.17,2.61,133,137,176,169,159
2024-12-16 20:23:00,2024-12-16 20:00:00+00:00,115,p2,19,92,2.02,162,01n,26,20,0,12,0,77,159,98,100,87,100,23.0,26.0,92.33,88.83,31.726,21.0,20.17,6.735,22.17,2.927,73.17,2.42,86,82,150,3,68
2024-12-16 21:21:00,2024-12-16 21:00:00+00:00,66,p2,20,70,1.21,169,04n,15,21,0,12,0,198,25,34,92,113,149,19.0,20.0,76.67,79.83,28.625,17.67,18.17,6.047,21.33,2.658,73.5,2.2,165,89,200,187,98
2024-12-16 23:54:00,2024-12-16 23:00:00+00:00,94,p2,15,98,1.23,194,01n,21,23,0,12,0,59,26,161,116,153,144,20.0,23.0,91.67,86.33,26.181,20.67,19.5,5.541,20.5,3.728,76.67,1.74,137,170,150,65,14
2024-12-17 00:58:00,2024-12-17 00:00:00+00:00,60,p2,19,98,3.09,177,03n,14,0,1,12,0,137,190,68,94,138,189,15.0,19.0,73.33,82.83,28.351,16.67,18.83,5.981,19.33,2.582,83.17,1.9,195,146,89,97,127
2024-12-17 01:16:00,2024-12-17 01:00:00+00:00,106,p2,21,82,1.81,197,10n,24,1,1,12,0,36,64,90,66,22,122,19.0,20.0,86.67,81.67,26.972,19.67,18.67,5.785,19.5,2.665,87.0,1.96,30,167,66,33,68
2024-12-17 02:34:00,2024-12-17 02:00:00+00:00,105,p2,15,96,3.3,202,02n,24,2,1,12,0,5,55,158,34,41,5,21.0,15.0,90.33,91.0,22.768,20.67,20.67,5.046,18.17,2.563,89.33,2.11,37,2,145,149,52
2024-12-17 03:11:00,2024-12-17 03:00:00+00:00,106,p2,21,100,0.54,207,01n,24,3,1,12,0,158,42,159,186,63,78,15.0,19.0,105.67,89.5,21.107,24.0,20.33,4.676,18.5,2.811,90.67,1.86,120,46,145,3,15
2024-12-17 04:41:00,2024-12-17 04:00:00+00:00,98,p2,19,73,0.3,184,01n,22,4,1,12,0,144,70,80,18,145,198,21.0,21.0,103.0,94.83,17.759,23.33,21.5,3.886,18.33,2.733,91.17,1.71,198,94,187,191,188
2024-12-17 05:16:00,2024-12-17 05:00:00+00:00,70,p2,15,88,1.21,177,02n,16,5,1,12,0,126,106,169,34,113,181,19.0,15.0,91.33,90.83,20.478,20.67,20.67,4.502,18.33,2.733,89.5,1.71,157,149,117,10,152
2024-12-17 06:45:00,2024-12-17 06:00:00+00:00,104,p2,22,100,1.96,207,02d,23,6,1,12,0,49,195,144,96,153,22,15.0,21.0,90.67,98.17,14.12,20.33,22.17,3.125,18.83,3.125,89.83,1.52,197,49,114,166,82
2024-12-17 08:13:00,2024-12-17 08:00:00+00:00,96,p2,26,45,2.4,213,04d,22,8,1,12,0,105,52,116,154,109,93,22.0,19.0,90.0,96.5,13.59,20.33,21.83,2.994,19.67,4.274,83.67,1.62,49,139,35,15,121
2024-12-17 09:42:00,2024-12-17 09:00:00+00:00,111,p2,28,79,2.27,176,04d,25,9,1,12,0,70,63,60,16,8,11,26.0,15.0,103.67,97.5,14.529,23.33,22.0,3.162,21.83,4.708,80.83,1.45,30,47,33,2,154
2024-12-17 10:52:00,2024-12-17 10:00:00+00:00,125,p2,19,81,3.28,141,03d,28,10,1,12,0,84,79,10,66,93,193,28.0,22.0,110.67,100.67,18.327,25.0,22.67,3.983,21.5,4.848,77.67,1.9,87,15,92,46,93
2024-12-17 11:47:00,2024-12-17 11:00:00+00:00,67,p2,21,66,4.16,194,10d,15,11,1,12,0,47,100,162,120,66,144,19.0,26.0,101.0,95.5,23.002,22.67,21.5,5.089,21.83,4.708,76.5,2.55,166,135,159,69,6
2024-12-17 12:46:00,2024-12-17 12:00:00+00:00,144,p2,20,94,3.17,193,03d,32,12,1,12,0,140,181,150,177,126,39,21.0,28.0,112.0,107.83,26.21,25.0,24.17,5.776,22.67,3.559,77.5,2.87,85,65,200,44,81
2024-12-17 13:46:00,2024-12-17 13:00:00+00:00,130,p2,22,72,3.09,158,10d,29,13,1,12,0,172,150,115,38,21,109,20.0,19.0,113.67,112.17,27.564,25.33,25.17,6.047,22.67,3.559,72.83,3.06,138,89,22,58,136
2024-12-17 14:58:00,2024-12-17 14:00:00+00:00,102,p2,24,66,2.84,228,04d,23,14,1,12,0,86,127,84,55,58,138,22.0,21.0,125.33,113.17,26.962,28.0,25.33,5.955,22.33,3.266,76.33,3.14,156,3,195,68,97
2024-12-17 16:32:00,2024-12-17 16:00:00+00:00,102,p2,25,74,3.81,160,02d,23,16,1,12,0,21,118,69,144,147,93,24.0,20.0,111.33,111.67,27.354,25.0,25.0,6.033,21.83,2.317,75.5,3.39,150,111,39,195,15
2024-12-17 17:25:00,2024-12-17 17:00:00+00:00,115,p2,26,68,4.09,180,04d,26,17,1,12,0,187,125,194,39,15,41,25.0,22.0,106.33,110.0,26.676,24.0,24.67,5.888,23.0,2.366,73.33,3.53,149,78,104,141,46
2024-12-17 18:52:00,2024-12-17 18:00:00+00:00,58,p2,18,38,2.95,225,02d,13,18,1,12,0,171,60,116,114,119,17,26.0,24.0,91.67,108.5,29.663,20.67,24.33,6.563,22.5,3.082,68.67,3.32,181,84,104,114,186
2024-12-17 20:49:00,2024-12-17 20:00:00+00:00,118,p2,19,72,1.75,235,01n,26,20,1,12,0,12,147,81,196,98,134,18.0,25.0,97.0,104.17,24.967,21.67,23.33,5.538,22.33,3.266,65.0,3.09,125,100,128,147,100
2024-12-17 21:58:00,2024-12-17 21:00:00+00:00,70,p2,22,68,1.67,199,01n,16,21,1,12,0,109,80,183,180,34,142,19.0,26.0,82.0,94.17,24.564,18.33,21.17,5.419,22.33,3.266,64.33,2.85,118,48,52,135,60
2024-12-17 23:57:00,2024-12-17 23:00:00+00:00,58,p2,15,100,1.8,247,01n,13,23,1,12,0,180,121,160,90,164,127,22.0,18.0,82.0,86.83,28.074,18.33,19.5,6.221,20.83,4.262,70.0,2.68,173,156,82,41,43
2024-12-18 01:36:00,2024-12-18 01:00:00+00:00,127,p2,18,100,0.42,132,04n,28,1,2,12,0,155,64,76,64,110,53,15.0,19.0,85.0,91.0,32.311,19.0,20.33,7.062,19.67,3.83,74.33,2.11,145,130,11,142,180
2024-12-18 02:28:00,2024-12-18 02:00:00+00:00,106,p2,19,86,0.3,138,04n,24,2,2,12,0,93,53,3,12,180,13,18.0,22.0,97.0,89.5,31.162,21.67,20.0,6.782,18.5,2.258,77.33,1.48,115,134,74,153,134
2024-12-18 03:17:00,2024-12-18 03:00:00+00:00,115,p2,17,100,0.85,194,10n,26,3,2,12,0,89,170,102,77,120,29,19.0,15.0,116.0,99.0,28.185,26.0,22.17,6.145,18.33,2.338,87.67,1.13,28,24,17,180,137
2024-12-18 04:57:00,2024-12-18 04:00:00+00:00,76,p2,21,81,1.63,226,01n,17,4,2,12,0,13,110,131,135,158,12,17.0,18.0,99.0,92.0,27.734,22.33,20.67,6.121,18.67,2.582,89.17,1.11,57,69,32,51,47
2024-12-18 05:27:00,2024-12-18 05:00:00+00:00,112,p2,18,70,3.4,205,03n,25,5,2,12,0,2,13,49,15,52,3,21.0,19.0,101.0,99.0,26.336,22.67,22.17,5.845,18.0,2.0,89.5,1.4,147,75,73,145,178
2024-12-18 06:57:00,2024-12-18 06:00:00+00:00,91,p2,23,65,1.77,162,04d,20,6,2,12,0,100,126,108,120,81,78,18.0,17.0,93.0,104.5,18.273,20.67,23.33,4.082,19.33,2.251,83.67,1.4,184,140,79,185,26
2024-12-18 07:53:00,2024-12-18 07:00:00+00:00,103,p2,26,70,0.3,211,10d,23,7,2,12,0,132,73,162,176,189,171,23.0,21.0,102.0,100.5,14.625,22.67,22.5,3.391,20.67,3.386,78.67,1.38,28,86,37,7,29
2024-12-18 08:11:00,2024-12-18 08:00:00+00:00,55,p2,23,52,2.34,193,04d,13,8,2,12,0,83,24,111,170,150,51,26.0,18.0,83.0,92.0,23.134,18.67,20.67,5.007,21.33,3.386,73.0,1.72,179,193,181,67,77
2024-12-18 09:14:00,2024-12-18 09:00:00+00:00,79,p2,23,96,4.55,185,03d,18,9,2,12,0,116,180,118,19,66,65,23.0,23.0,79.0,86.0,20.494,18.0,19.33,4.32,22.33,2.658,72.33,2.33,189,160,117,83,78
2024-12-18 11:51:00,2024-12-18 11:00:00+00:00,72,p2,23,58,2.45,215,01d,16,11,2,12,0,67,58,185,67,153,108,23.0,26.0,68.67,85.33,20.944,15.67,19.17,4.446,22.67,2.582,68.5,2.47,51,70,4,197,21
